difficulty,event_order,beat_idx,beat_time,onset_time,residual_ms,timing_source,subdivision,source_event_idx,onset_class,segment_idx,segment_focus,event_role,difficulty_inclusion
easy,0,12,4.493,4.493,0.0,onset,downbeat,51,full-spectrum,0,full-spectrum,easy,easy
easy,1,50,18.747,18.744,-3.0,onset,downbeat,117,full-spectrum,2,percussive,easy,easy
easy,2,54,20.254,20.245,-9.0,onset,downbeat,126,full-spectrum,2,percussive,easy,easy
easy,3,70,26.253,26.244,-9.0,onset,downbeat,152,full-spectrum,2,percussive,easy,easy
easy,4,80,30.006,29.983,-23.0,onset,downbeat,171,harmonic,3,harmonic,easy,easy
easy,5,96,36.005,35.997,-8.0,onset,downbeat,184,full-spectrum,4,full-spectrum,easy,easy
easy,6,98,36.789,37.03,-9.0,onset,triplet,185,full-spectrum,4,full-spectrum,easy,easy
easy,7,105,39.41,39.378,-32.0,onset,downbeat,186,full-spectrum,4,full-spectrum,easy,easy
easy,8,106,39.784,40.031,3.0,onset,triplet,187,full-spectrum,4,full-spectrum,easy,easy
easy,9,112,41.866,41.985,6.0,onset,triplet,194,percussive,5,percussive,easy,easy
easy,10,113,42.205,41.996,17.0,onset,triplet,196,full-spectrum,5,percussive,easy,easy
easy,11,128,47.813,47.807,-6.0,onset,downbeat,211,full-spectrum,5,percussive,easy,easy
easy,12,129,48.196,47.807,-6.0,onset,downbeat,212,percussive,5,percussive,easy,easy
easy,13,142,52.994,53.246,20.0,onset,triplet,224,percussive,5,percussive,easy,easy
easy,14,180,67.117,67.402,35.0,onset,triplet,302,full-spectrum,7,full-spectrum,easy,easy
easy,15,208,77.627,77.619,-8.0,onset,downbeat,344,percussive,8,percussive,easy,easy
easy,16,225,84.001,83.984,-17.0,onset,downbeat,354,harmonic,9,harmonic,easy,easy
easy,17,241,89.87,89.995,11.667,onset,triplet,367,full-spectrum,10,full-spectrum,easy,easy
easy,18,276,102.748,102.928,-7.5,onset,eighth,407,percussive,11,percussive,easy,easy
easy,19,282,105.004,104.989,-15.0,onset,downbeat,412,percussive,11,percussive,easy,easy
easy,20,283,105.378,104.998,-6.0,onset,downbeat,413,full-spectrum,11,percussive,easy,easy
easy,21,285,106.127,106.115,-12.0,onset,downbeat,414,percussive,11,percussive,easy,easy
easy,22,290,107.999,107.996,-3.0,onset,downbeat,422,full-spectrum,11,percussive,easy,easy
easy,23,301,112.126,112.298,-15.5,onset,eighth,436,harmonic,11,percussive,easy,easy
easy,24,302,112.501,112.298,-15.5,onset,eighth,437,percussive,11,percussive,easy,easy
easy,25,303,112.875,112.312,-1.5,onset,eighth,438,full-spectrum,11,percussive,easy,easy
easy,26,305,113.624,113.795,-16.0,onset,eighth,445,harmonic,11,percussive,easy,easy
easy,27,306,113.998,113.807,-4.0,onset,eighth,446,percussive,11,percussive,easy,easy
easy,28,307,114.373,114.358,-15.0,onset,downbeat,452,percussive,11,percussive,easy,easy
easy,29,310,115.496,115.493,-3.0,onset,downbeat,461,percussive,11,percussive,easy,easy
easy,30,312,116.245,116.233,-12.0,onset,downbeat,466,percussive,11,percussive,easy,easy
easy,31,322,120.007,119.995,-12.0,onset,downbeat,485,full-spectrum,11,percussive,easy,easy
easy,32,336,125.257,125.243,-14.0,onset,downbeat,491,full-spectrum,11,percussive,easy,easy
easy,33,357,133.129,133.12,-9.0,onset,downbeat,504,full-spectrum,11,percussive,easy,easy
easy,34,384,143.264,143.264,0.0,onset,downbeat,518,percussive,12,harmonic,easy,easy
easy,35,421,157.127,157.124,-3.0,onset,downbeat,551,full-spectrum,13,full-spectrum,easy,easy
easy,36,461,172.034,171.654,-5.0,onset,downbeat,589,percussive,14,percussive,easy,easy
easy,37,462,172.408,172.399,-9.0,onset,downbeat,594,full-spectrum,14,percussive,easy,easy
easy,38,463,172.783,172.402,-6.0,onset,downbeat,595,percussive,14,percussive,easy,easy
easy,39,464,173.157,172.965,-5.0,onset,eighth,599,full-spectrum,14,percussive,easy,easy
easy,40,466,173.906,173.9,-6.0,onset,downbeat,605,full-spectrum,14,percussive,easy,easy
easy,41,470,175.404,175.401,-3.0,onset,downbeat,617,full-spectrum,14,percussive,easy,easy
easy,42,474,176.91,176.901,-9.0,onset,downbeat,630,full-spectrum,14,percussive,easy,easy
easy,43,475,177.284,176.901,-9.0,onset,downbeat,631,percussive,14,percussive,easy,easy
easy,44,476,177.659,177.65,-9.0,onset,downbeat,636,full-spectrum,14,percussive,easy,easy
easy,45,478,178.408,178.399,-9.0,onset,downbeat,641,full-spectrum,14,percussive,easy,easy
easy,46,479,178.817,178.399,-9.0,onset,downbeat,642,percussive,14,percussive,easy,easy
