candidate,event_idx,event_time,beat_idx,grid_time,subdivision,residual_ms,abs_residual_ms,flux,intensity,intensity_confidence,pass_count
current_quarter_snap,0,0.006,0,0.015,downbeat,-9.0,9.0,31.878,low,0.33,1
current_quarter_snap,6,0.387,1,0.399,downbeat,-12.0,12.0,605.3376,high,1.0,1
current_quarter_snap,7,0.387,1,0.399,downbeat,-12.0,12.0,215.6829,medium,0.66,1
current_quarter_snap,8,0.388,1,0.399,downbeat,-11.0,11.0,605.3376,high,1.0,3
current_quarter_snap,13,0.789,2,0.798,downbeat,-9.0,9.0,512.3568,high,1.0,1
current_quarter_snap,14,0.791,2,0.798,downbeat,-7.0,7.0,135.1492,medium,0.66,1
current_quarter_snap,15,0.791,2,0.798,downbeat,-7.0,7.0,512.3568,high,1.0,3
current_quarter_snap,20,1.186,3,1.197,downbeat,-11.0,11.0,545.2688,high,1.0,1
current_quarter_snap,21,1.188,3,1.197,downbeat,-9.0,9.0,216.1341,medium,0.66,1
current_quarter_snap,22,1.188,3,1.197,downbeat,-9.0,9.0,545.2688,high,1.0,3
current_quarter_snap,31,1.589,4,1.596,downbeat,-7.0,7.0,481.6496,high,1.0,1
current_quarter_snap,32,1.589,4,1.596,downbeat,-7.0,7.0,175.2946,medium,0.66,1
current_quarter_snap,33,1.59,4,1.596,downbeat,-6.0,6.0,481.6496,high,1.0,3
current_quarter_snap,39,1.987,5,1.995,downbeat,-8.0,8.0,621.4224,high,1.0,1
current_quarter_snap,40,1.987,5,1.995,downbeat,-8.0,8.0,228.1491,medium,0.66,1
current_quarter_snap,41,1.987,5,1.995,downbeat,-8.0,8.0,621.4224,high,1.0,3
current_quarter_snap,46,2.388,6,2.395,downbeat,-7.0,7.0,539.0258,high,1.0,1
current_quarter_snap,47,2.388,6,2.395,downbeat,-7.0,7.0,205.6259,medium,0.66,1
current_quarter_snap,48,2.39,6,2.395,downbeat,-5.0,5.0,539.0258,high,1.0,3
current_quarter_snap,53,2.788,7,2.794,downbeat,-6.0,6.0,474.8262,high,1.0,1
current_quarter_snap,54,2.788,7,2.794,downbeat,-6.0,6.0,184.5579,medium,0.66,1
current_quarter_snap,55,2.788,7,2.794,downbeat,-6.0,6.0,474.8262,high,1.0,3
current_quarter_snap,63,3.187,8,3.193,downbeat,-6.0,6.0,444.6195,high,1.0,1
current_quarter_snap,64,3.188,8,3.193,downbeat,-5.0,5.0,444.6195,high,1.0,3
current_quarter_snap,65,3.189,8,3.193,downbeat,-4.0,4.0,160.7393,medium,0.66,1
current_quarter_snap,71,3.585,9,3.592,downbeat,-7.0,7.0,446.8403,high,1.0,1
current_quarter_snap,72,3.586,9,3.592,downbeat,-6.0,6.0,446.8403,high,1.0,3
current_quarter_snap,73,3.589,9,3.592,downbeat,-3.0,3.0,152.8026,medium,0.66,1
current_quarter_snap,77,3.988,10,3.998,downbeat,-10.0,10.0,357.4081,high,1.0,1
current_quarter_snap,78,3.99,10,3.998,downbeat,-8.0,8.0,163.8737,medium,0.66,1
current_quarter_snap,79,3.992,10,3.998,downbeat,-6.0,6.0,357.4081,high,1.0,3
current_quarter_snap,85,4.387,11,4.397,downbeat,-10.0,10.0,541.3975,high,1.0,1
current_quarter_snap,86,4.387,11,4.397,downbeat,-10.0,10.0,180.4071,medium,0.66,1
current_quarter_snap,87,4.387,11,4.397,downbeat,-10.0,10.0,541.3975,high,1.0,3
current_quarter_snap,96,4.787,12,4.796,downbeat,-9.0,9.0,404.2432,high,1.0,1
current_quarter_snap,97,4.788,12,4.796,downbeat,-8.0,8.0,404.2432,high,1.0,3
current_quarter_snap,98,4.791,12,4.796,downbeat,-5.0,5.0,152.7316,medium,0.66,1
current_quarter_snap,104,5.186,13,5.195,downbeat,-9.0,9.0,355.2442,high,1.0,1
current_quarter_snap,105,5.186,13,5.195,downbeat,-9.0,9.0,355.2442,high,1.0,3
current_quarter_snap,106,5.188,13,5.195,downbeat,-7.0,7.0,121.4809,medium,0.66,1
current_quarter_snap,111,5.586,14,5.595,downbeat,-9.0,9.0,494.2959,high,1.0,1
current_quarter_snap,112,5.59,14,5.595,downbeat,-5.0,5.0,149.9771,medium,0.66,1
current_quarter_snap,113,5.59,14,5.595,downbeat,-5.0,5.0,494.2959,high,1.0,3
current_quarter_snap,118,5.987,15,5.994,downbeat,-7.0,7.0,676.0911,high,1.0,1
current_quarter_snap,119,5.987,15,5.994,downbeat,-7.0,7.0,249.5058,high,1.0,1
current_quarter_snap,120,5.988,15,5.994,downbeat,-6.0,6.0,676.0911,high,1.0,3
current_quarter_snap,128,6.389,16,6.393,downbeat,-4.0,4.0,302.8356,high,1.0,1
current_quarter_snap,129,6.389,16,6.393,downbeat,-4.0,4.0,116.4667,medium,0.66,1
current_quarter_snap,130,6.389,16,6.393,downbeat,-4.0,4.0,302.8356,high,1.0,3
current_quarter_snap,136,6.786,17,6.799,downbeat,-13.0,13.0,489.4355,high,1.0,1
current_quarter_snap,137,6.786,17,6.799,downbeat,-13.0,13.0,489.4355,high,1.0,3
current_quarter_snap,138,6.792,17,6.799,downbeat,-7.0,7.0,108.2667,medium,0.66,1
current_quarter_snap,142,7.187,18,7.198,downbeat,-11.0,11.0,505.5087,high,1.0,1
current_quarter_snap,143,7.187,18,7.198,downbeat,-11.0,11.0,155.2709,medium,0.66,1
current_quarter_snap,144,7.189,18,7.198,downbeat,-9.0,9.0,505.5087,high,1.0,3
current_quarter_snap,150,7.585,19,7.59,downbeat,-5.0,5.0,558.3784,high,1.0,1
current_quarter_snap,151,7.585,19,7.59,downbeat,-5.0,5.0,186.22,medium,0.66,1
current_quarter_snap,152,7.585,19,7.59,downbeat,-5.0,5.0,558.3784,high,1.0,3
current_quarter_snap,160,7.986,20,7.989,downbeat,-3.0,3.0,579.5415,high,1.0,1
current_quarter_snap,161,7.986,20,7.989,downbeat,-3.0,3.0,200.3729,medium,0.66,1
current_quarter_snap,162,7.986,20,7.989,downbeat,-3.0,3.0,579.5415,high,1.0,3
current_quarter_snap,168,8.386,21,8.395,downbeat,-9.0,9.0,575.0474,high,1.0,1
current_quarter_snap,169,8.386,21,8.395,downbeat,-9.0,9.0,575.0474,high,1.0,3
current_quarter_snap,170,8.39,21,8.395,downbeat,-5.0,5.0,73.5504,low,0.33,1
current_quarter_snap,176,8.786,22,8.795,downbeat,-9.0,9.0,603.1325,high,1.0,3
current_quarter_snap,177,8.787,22,8.795,downbeat,-8.0,8.0,603.1325,high,1.0,1
current_quarter_snap,178,8.787,22,8.795,downbeat,-8.0,8.0,246.4657,high,1.0,1
current_quarter_snap,184,9.185,23,9.194,downbeat,-9.0,9.0,540.6913,high,1.0,1
