difficulty,event_order,beat_idx,beat_time,onset_time,residual_ms,timing_source,subdivision,source_event_idx,onset_class,segment_idx,segment_focus,motif_id,motif_length_beats,motif_token_length,motif_repeat_count,motif_fingerprint,event_role,difficulty_inclusion
easy,0,14,5.251,5.237,-14.0,onset,downbeat,25,full-spectrum,0,full-spectrum,,,,,,easy,easy
easy,1,47,17.624,17.621,-3.0,onset,downbeat,31,full-spectrum,2,full-spectrum,,,,,,easy,easy
easy,2,80,30.006,29.979,-27.0,onset,downbeat,38,full-spectrum,3,full-spectrum,,,,,,easy,easy
easy,3,96,36.005,35.983,-22.0,onset,downbeat,42,full-spectrum,4,full-spectrum,,,,,,easy,easy
easy,4,128,47.813,47.807,-6.0,onset,downbeat,48,percussive,5,percussive,,,,,,easy,easy
easy,5,145,54.004,53.985,-19.0,onset,downbeat,55,full-spectrum,6,full-spectrum,,,,,,easy,easy
easy,6,177,66.003,65.991,-12.0,onset,downbeat,61,full-spectrum,7,full-spectrum,,,,,,easy,easy
easy,7,208,77.627,77.619,-8.0,onset,downbeat,66,full-spectrum,8,full-spectrum,,,,,,easy,easy
easy,8,225,84.001,83.986,-15.0,onset,downbeat,72,full-spectrum,9,full-spectrum,,,,,,easy,easy
easy,9,257,95.817,95.808,-9.0,onset,downbeat,78,percussive,10,percussive,,,,,,easy,easy
easy,10,274,102.008,101.982,-26.0,onset,downbeat,84,full-spectrum,11,full-spectrum,,,,,,easy,easy
easy,11,306,113.998,113.987,-11.0,onset,downbeat,105,full-spectrum,11,full-spectrum,,,,,,easy,easy
easy,12,307,114.373,114.361,-12.0,onset,downbeat,106,full-spectrum,11,full-spectrum,,,,,,easy,easy
easy,13,310,115.496,115.483,-13.0,onset,downbeat,109,full-spectrum,11,full-spectrum,,,,,,easy,easy
easy,14,312,116.245,116.236,-9.0,onset,downbeat,111,full-spectrum,11,full-spectrum,,,,,,easy,easy
easy,15,313,116.619,116.611,-8.0,onset,downbeat,112,full-spectrum,11,full-spectrum,,,,,,easy,easy
