candidate,event_idx,event_time,beat_idx,grid_time,subdivision,residual_ms,abs_residual_ms,flux,intensity,intensity_confidence,pass_count
current_quarter_snap,1,0.372,1,0.374,downbeat,-2.0,2.0,76.5698,low,0.33,1
current_quarter_snap,3,0.742,2,0.749,downbeat,-7.0,7.0,82.4801,low,0.33,1
current_quarter_snap,5,1.12,3,1.123,downbeat,-3.0,3.0,49.5991,low,0.33,1
current_quarter_snap,7,1.49,4,1.498,downbeat,-8.0,8.0,61.2456,low,0.33,1
current_quarter_snap,9,1.872,5,1.872,downbeat,0.0,0.0,21.871,low,0.33,1
current_quarter_snap,11,2.242,6,2.247,downbeat,-5.0,5.0,65.9756,low,0.33,1
current_quarter_snap,13,2.621,7,2.621,downbeat,0.0,0.0,59.3479,low,0.33,1
current_quarter_snap,15,2.998,8,2.995,downbeat,3.0,3.0,17.1562,low,0.33,1
current_quarter_snap,17,3.37,9,3.37,downbeat,0.0,0.0,32.2013,low,0.33,1
current_quarter_snap,19,3.747,10,3.744,downbeat,3.0,3.0,42.5567,low,0.33,1
current_quarter_snap,21,4.122,11,4.119,downbeat,3.0,3.0,11.9086,low,0.33,1
current_quarter_snap,23,4.492,12,4.493,downbeat,-1.0,1.0,84.8713,low,0.33,1
current_quarter_snap,24,4.859,13,4.876,downbeat,-17.0,17.0,194.2719,low,0.33,2
current_quarter_snap,25,5.237,14,5.251,downbeat,-14.0,14.0,246.7477,low,0.33,4
current_quarter_snap,26,5.984,16,6.008,downbeat,-24.0,24.0,109.6511,low,0.33,1
current_quarter_snap,28,17.247,46,17.25,downbeat,-3.0,3.0,27.3787,low,0.33,1
current_quarter_snap,31,17.621,47,17.624,downbeat,-3.0,3.0,361.4081,low,0.33,4
current_quarter_snap,32,17.991,48,18.007,downbeat,-16.0,16.0,102.9361,low,0.33,1
current_quarter_snap,34,29.248,78,29.248,downbeat,0.0,0.0,4.9364,low,0.33,1
current_quarter_snap,37,29.617,79,29.623,downbeat,-6.0,6.0,138.3885,low,0.33,2
current_quarter_snap,38,29.979,80,30.006,downbeat,-27.0,27.0,1225.7717,low,0.33,5
current_quarter_snap,42,35.983,96,36.005,downbeat,-22.0,22.0,894.6726,low,0.33,5
current_quarter_snap,45,41.806,112,41.866,triplet,-60.0,60.0,113.1809,low,0.33,2
current_quarter_snap,48,47.807,128,47.813,downbeat,-6.0,6.0,118.5772,high,1.0,1
current_quarter_snap,51,53.62,144,53.673,downbeat,-53.0,53.0,49.314,low,0.33,2
current_quarter_snap,55,53.985,145,54.004,downbeat,-19.0,19.0,583.2849,low,0.33,4
current_quarter_snap,57,65.248,175,65.245,downbeat,3.0,3.0,0.3661,low,0.33,1
current_quarter_snap,60,65.618,176,65.628,downbeat,-10.0,10.0,179.9702,low,0.33,5
current_quarter_snap,61,65.991,177,66.003,downbeat,-12.0,12.0,284.5311,low,0.33,4
