difficulty,event_order,beat_idx,beat_time,onset_time,residual_ms,timing_source,subdivision,source_event_idx,onset_class,segment_idx,segment_focus,motif_id,motif_length_beats,motif_token_length,motif_repeat_count,motif_fingerprint,event_role,difficulty_inclusion
easy,0,9,4.153,4.151,-2.0,onset,downbeat,19,percussive,0,percussive,,,,,,easy,easy
easy,1,10,4.563,4.844,14.333,onset,triplet,25,percussive,0,percussive,,,,,,easy,easy
easy,2,12,5.373,5.529,14.0,onset,triplet,26,percussive,0,percussive,,,,,,easy,easy
easy,3,14,6.235,6.214,-21.0,onset,downbeat,30,percussive,0,percussive,,,,,,easy,easy
easy,4,15,6.705,6.92,-11.5,onset,eighth,32,full-spectrum,1,full-spectrum,,,,,,easy,easy
easy,5,17,7.619,7.61,-9.0,onset,downbeat,35,full-spectrum,1,full-spectrum,,,,,,easy,easy
easy,6,20,9.004,8.995,-9.0,onset,downbeat,43,full-spectrum,1,full-spectrum,,,,,,easy,easy
easy,7,21,9.465,9.686,-10.0,onset,eighth,46,full-spectrum,1,full-spectrum,,,,,,easy,easy
easy,8,53,24.233,24.227,-6.0,onset,downbeat,215,harmonic,2,harmonic,,,,,,easy,easy
easy,9,56,25.617,25.597,-20.0,onset,downbeat,236,harmonic,2,harmonic,,,,,,easy,easy
easy,10,57,26.079,25.597,-20.0,onset,downbeat,237,percussive,2,harmonic,,,,,,easy,easy
easy,11,58,26.54,25.609,-8.0,onset,downbeat,238,full-spectrum,2,harmonic,,,,,,easy,easy
easy,12,59,27.002,26.297,-12.5,onset,eighth,244,harmonic,2,harmonic,,,,,,easy,easy
easy,13,60,27.463,27.687,-7.0,onset,eighth,264,full-spectrum,2,harmonic,,,,,,easy,easy
easy,14,61,27.925,27.687,-7.0,onset,eighth,265,harmonic,2,harmonic,,,,,,easy,easy
easy,15,62,28.386,27.687,-7.0,onset,eighth,266,percussive,2,harmonic,,,,,,easy,easy
easy,16,70,32.078,32.29,-19.0,onset,eighth,332,percussive,2,harmonic,,,,,,easy,easy
easy,17,73,33.463,33.686,-7.5,onset,eighth,353,percussive,2,harmonic,,,,,,easy,easy
easy,18,74,33.924,33.698,4.5,onset,eighth,354,full-spectrum,2,harmonic,,,,,,easy,easy
easy,19,75,34.386,34.601,-15.5,onset,eighth,371,percussive,3,percussive,,,,,,easy,easy
easy,20,79,36.232,36.455,-7.5,onset,eighth,403,percussive,3,percussive,,,,,,easy,easy
easy,21,81,37.155,37.288,-20.667,onset,triplet,418,percussive,3,percussive,,,,,,easy,easy
easy,22,82,37.616,37.828,-19.0,onset,eighth,430,percussive,3,percussive,,,,,,easy,easy
easy,23,102,46.846,46.843,-3.0,onset,downbeat,560,full-spectrum,4,full-spectrum,,,,,,easy,easy
easy,24,103,47.308,47.543,4.5,onset,eighth,573,full-spectrum,4,full-spectrum,,,,,,easy,easy
easy,25,105,48.231,48.457,-4.5,onset,eighth,591,full-spectrum,4,full-spectrum,,,,,,easy,easy
easy,26,107,49.154,49.151,-3.0,onset,downbeat,604,full-spectrum,4,full-spectrum,,,,,,easy,easy
easy,27,110,50.538,50.521,-17.0,onset,downbeat,617,percussive,4,full-spectrum,,,,,,easy,easy
easy,28,122,56.076,56.059,-17.0,onset,downbeat,642,percussive,4,full-spectrum,,,,,,easy,easy
easy,29,133,61.161,61.373,-14.5,onset,eighth,696,percussive,4,full-spectrum,,,,,,easy,easy
easy,30,166,76.382,76.6,-17.0,onset,eighth,894,harmonic,5,harmonic,,,,,,easy,easy
easy,31,167,76.852,76.6,-17.0,onset,eighth,895,percussive,5,harmonic,,,,,,easy,easy
easy,32,168,77.305,76.611,-6.0,onset,eighth,896,full-spectrum,5,harmonic,,,,,,easy,easy
easy,33,170,78.237,78.225,-12.0,onset,downbeat,915,harmonic,5,harmonic,,,,,,easy,easy
easy,34,171,78.698,78.919,-5.5,onset,eighth,922,harmonic,5,harmonic,,,,,,easy,easy
easy,35,177,81.467,81.688,-5.5,onset,eighth,955,harmonic,5,harmonic,,,,,,easy,easy
easy,36,183,84.236,84.454,-8.5,onset,eighth,986,percussive,6,percussive,,,,,,easy,easy
easy,37,186,85.612,85.838,-9.0,onset,eighth,999,percussive,6,percussive,,,,,,easy,easy
easy,38,189,87.005,87.22,-11.5,onset,eighth,1015,percussive,6,percussive,,,,,,easy,easy
easy,39,191,87.928,87.922,-6.0,onset,downbeat,1025,percussive,6,percussive,,,,,,easy,easy
easy,40,228,104.995,105.227,-3.0,onset,eighth,1231,full-spectrum,7,full-spectrum,,,,,,easy,easy
easy,41,230,105.927,105.918,-9.0,onset,downbeat,1237,full-spectrum,7,full-spectrum,,,,,,easy,easy
easy,42,231,106.371,106.609,-1.5,onset,eighth,1241,full-spectrum,7,full-spectrum,,,,,,easy,easy
easy,43,233,107.311,107.302,-9.0,onset,downbeat,1244,full-spectrum,7,full-spectrum,,,,,,easy,easy
easy,44,266,122.54,122.52,-20.0,onset,downbeat,1445,harmonic,8,harmonic,,,,,,easy,easy
easy,45,269,123.925,123.907,-18.0,onset,downbeat,1469,harmonic,8,harmonic,,,,,,easy,easy
easy,46,270,124.386,124.601,-16.0,onset,eighth,1483,harmonic,8,harmonic,,,,,,easy,easy
easy,47,272,125.309,125.289,-20.0,onset,downbeat,1499,harmonic,8,harmonic,,,,,,easy,easy
easy,48,273,125.771,125.301,-8.0,onset,downbeat,1500,full-spectrum,8,harmonic,,,,,,easy,easy
easy,49,274,126.224,126.456,-3.0,onset,eighth,1521,full-spectrum,8,harmonic,,,,,,easy,easy
easy,50,275,126.694,126.456,-3.0,onset,eighth,1522,percussive,8,harmonic,,,,,,easy,easy
easy,51,276,127.155,127.376,-10.0,onset,eighth,1534,percussive,9,percussive,,,,,,easy,easy
easy,52,279,128.557,128.763,-20.5,onset,eighth,1541,percussive,9,percussive,,,,,,easy,easy
easy,53,281,129.463,129.454,-9.0,onset,downbeat,1543,percussive,9,percussive,,,,,,easy,easy
easy,54,288,132.693,132.92,-4.0,onset,eighth,1576,full-spectrum,10,full-spectrum,,,,,,easy,easy
easy,55,290,133.616,133.608,-8.0,onset,downbeat,1590,full-spectrum,10,full-spectrum,,,,,,easy,easy
easy,56,291,134.078,134.301,-7.5,onset,eighth,1600,full-spectrum,10,full-spectrum,,,,,,easy,easy
easy,57,293,135.001,134.995,-6.0,onset,downbeat,1615,full-spectrum,10,full-spectrum,,,,,,easy,easy
easy,58,314,144.701,144.681,-20.0,onset,downbeat,1693,harmonic,11,harmonic,,,,,,easy,easy
easy,59,318,146.547,146.759,-14.5,onset,eighth,1703,harmonic,11,harmonic,,,,,,easy,easy
easy,60,325,149.777,149.76,-17.0,onset,downbeat,1722,harmonic,11,harmonic,,,,,,easy,easy
easy,61,326,150.23,149.76,-17.0,onset,downbeat,1723,percussive,11,harmonic,,,,,,easy,easy
easy,62,327,150.7,149.769,-8.0,onset,downbeat,1724,full-spectrum,11,harmonic,,,,,,easy,easy
easy,63,329,151.615,151.606,-9.0,onset,downbeat,1755,harmonic,11,harmonic,,,,,,easy,easy
easy,64,330,152.076,151.612,-3.0,onset,downbeat,1756,full-spectrum,11,harmonic,,,,,,easy,easy
easy,65,331,152.546,151.612,-3.0,onset,downbeat,1757,percussive,11,harmonic,,,,,,easy,easy
easy,66,332,152.999,152.764,-8.5,onset,eighth,1777,percussive,11,harmonic,,,,,,easy,easy
easy,67,333,153.469,152.773,0.5,onset,eighth,1778,full-spectrum,11,harmonic,,,,,,easy,easy
easy,68,337,155.315,155.533,-8.5,onset,eighth,1822,percussive,12,percussive,,,,,,easy,easy
easy,69,339,156.238,156.233,-5.0,onset,downbeat,1837,percussive,12,percussive,,,,,,easy,easy
easy,70,341,157.153,157.15,-3.0,onset,downbeat,1851,full-spectrum,12,percussive,,,,,,easy,easy
easy,71,342,157.614,157.835,-14.0,onset,eighth,1865,percussive,12,percussive,,,,,,easy,easy
easy,72,345,159.007,159.213,-25.0,onset,eighth,1889,percussive,12,percussive,,,,,,easy,easy
easy,73,361,166.391,166.621,3.5,onset,eighth,2003,full-spectrum,13,full-spectrum,,,,,,easy,easy
easy,74,364,167.767,167.764,-3.0,onset,downbeat,2025,full-spectrum,13,full-spectrum,,,,,,easy,easy
easy,75,366,168.69,168.919,-6.0,onset,eighth,2036,full-spectrum,13,full-spectrum,,,,,,easy,easy
easy,76,367,169.16,169.453,-9.0,onset,triplet,2046,full-spectrum,13,full-spectrum,,,,,,easy,easy
easy,77,392,180.689,180.674,-15.0,onset,downbeat,2235,harmonic,14,harmonic,,,,,,easy,easy
easy,78,393,181.159,180.686,-3.0,onset,downbeat,2236,full-spectrum,14,harmonic,,,,,,easy,easy
easy,79,394,181.612,181.374,-11.5,onset,eighth,2240,harmonic,14,harmonic,,,,,,easy,easy
easy,80,395,182.082,182.073,-9.0,onset,downbeat,2251,harmonic,14,harmonic,,,,,,easy,easy
easy,81,396,182.535,182.764,-6.0,onset,eighth,2262,full-spectrum,14,harmonic,,,,,,easy,easy
easy,82,397,183.005,182.764,-6.0,onset,eighth,2263,harmonic,14,harmonic,,,,,,easy,easy
easy,83,398,183.467,182.764,-6.0,onset,eighth,2264,percussive,14,harmonic,,,,,,easy,easy
easy,84,406,187.15,187.368,-17.0,onset,eighth,2324,percussive,14,harmonic,,,,,,easy,easy
easy,85,407,187.62,187.379,-6.0,onset,eighth,2326,full-spectrum,14,harmonic,,,,,,easy,easy
easy,86,409,188.543,188.764,-10.0,onset,eighth,2344,percussive,14,harmonic,,,,,,easy,easy
easy,87,410,189.005,188.775,1.0,onset,eighth,2345,full-spectrum,14,harmonic,,,,,,easy,easy
easy,88,412,189.919,190.137,-17.0,onset,eighth,2368,percussive,15,percussive,,,,,,easy,easy
easy,89,415,191.312,191.533,-10.0,onset,eighth,2389,percussive,15,percussive,,,,,,easy,easy
easy,90,417,192.235,192.366,-20.0,onset,triplet,2402,percussive,15,percussive,,,,,,easy,easy
easy,91,418,192.688,192.906,-17.0,onset,eighth,2413,percussive,15,percussive,,,,,,easy,easy
easy,92,430,198.226,198.455,-6.0,onset,eighth,2490,full-spectrum,16,full-spectrum,,,,,,easy,easy
easy,93,433,199.619,199.851,1.0,onset,eighth,2510,full-spectrum,16,full-spectrum,,,,,,easy,easy
easy,94,436,200.995,201.117,-34.667,onset,triplet,2529,full-spectrum,16,full-spectrum,,,,,,easy,easy
easy,95,438,201.918,202.15,-3.0,onset,eighth,2543,full-spectrum,16,full-spectrum,,,,,,easy,easy
easy,96,442,203.764,203.987,-12.0,onset,eighth,2568,harmonic,17,harmonic,,,,,,easy,easy
easy,97,443,204.234,203.996,-3.0,onset,eighth,2569,full-spectrum,17,harmonic,,,,,,easy,easy
easy,98,450,207.456,207.688,-3.0,onset,eighth,2601,harmonic,17,harmonic,,,,,,easy,easy
easy,99,455,209.772,209.766,-6.0,onset,downbeat,2624,harmonic,17,harmonic,,,,,,easy,easy
easy,100,458,211.156,211.148,-8.0,onset,downbeat,2642,harmonic,17,harmonic,,,,,,easy,easy
easy,101,465,214.387,214.605,-12.5,onset,eighth,2682,percussive,18,percussive,,,,,,easy,easy
