candidate,event_idx,event_time,beat_idx,grid_time,subdivision,residual_ms,abs_residual_ms,flux,intensity,intensity_confidence,pass_count
current_quarter_snap,1,0.451,1,0.47,downbeat,-19.0,19.0,47.2898,medium,0.66,1
current_quarter_snap,2,1.347,3,1.367,downbeat,-20.0,20.0,25.9921,low,0.33,1
current_quarter_snap,3,2.278,5,2.29,downbeat,-12.0,12.0,27.3768,low,0.33,1
current_quarter_snap,5,2.765,6,2.769,downbeat,-4.0,4.0,170.2087,high,1.0,4
current_quarter_snap,8,3.227,7,3.239,downbeat,-12.0,12.0,37.5441,medium,0.66,1
current_quarter_snap,11,4.148,9,4.153,downbeat,-5.0,5.0,246.2841,high,1.0,5
current_quarter_snap,13,4.609,10,4.563,downbeat,46.0,46.0,8.1139,low,0.33,1
current_quarter_snap,16,6.211,14,6.235,downbeat,-24.0,24.0,912.0394,high,1.0,5
current_quarter_snap,18,7.609,17,7.619,downbeat,-10.0,10.0,291.6658,high,1.0,4
current_quarter_snap,20,8.98,20,9.004,downbeat,-24.0,24.0,910.7256,high,1.0,5
current_quarter_snap,23,9.906,22,9.927,downbeat,-21.0,21.0,4.8961,low,0.33,1
current_quarter_snap,24,10.381,23,10.388,downbeat,-7.0,7.0,158.8485,high,1.0,4
current_quarter_snap,26,11.314,25,11.294,downbeat,20.0,20.0,9.274,low,0.33,1
current_quarter_snap,27,11.749,26,11.773,downbeat,-24.0,24.0,977.123,high,1.0,5
current_quarter_snap,30,13.149,29,13.157,downbeat,-8.0,8.0,93.8825,high,1.0,2
current_quarter_snap,33,14.518,32,14.541,downbeat,-23.0,23.0,867.6465,high,1.0,5
current_quarter_snap,34,15.02,33,14.994,downbeat,26.0,26.0,9.3451,low,0.33,1
current_quarter_snap,37,15.917,35,15.926,downbeat,-9.0,9.0,61.4828,medium,0.66,2
current_quarter_snap,40,16.849,37,16.849,downbeat,0.0,0.0,115.8153,high,1.0,5
current_quarter_snap,45,17.289,38,17.31,downbeat,-21.0,21.0,803.7762,high,1.0,5
current_quarter_snap,47,17.771,39,17.772,downbeat,-1.0,1.0,245.453,high,1.0,4
current_quarter_snap,52,18.225,40,18.233,downbeat,-8.0,8.0,86.7692,medium,0.66,2
current_quarter_snap,54,18.689,41,18.695,downbeat,-6.0,6.0,322.7535,high,1.0,5
current_quarter_snap,57,19.617,43,19.618,downbeat,-1.0,1.0,258.0085,high,1.0,5
current_quarter_snap,62,20.058,44,20.079,downbeat,-21.0,21.0,1050.124,high,1.0,5
current_quarter_snap,63,20.545,45,20.541,downbeat,4.0,4.0,142.8869,high,1.0,4
current_quarter_snap,66,20.994,46,21.002,downbeat,-8.0,8.0,38.2528,medium,0.66,1
current_quarter_snap,68,21.458,47,21.464,downbeat,-6.0,6.0,55.482,medium,0.66,1
current_quarter_snap,70,21.917,48,21.925,downbeat,-8.0,8.0,87.6619,medium,0.66,1
current_quarter_snap,72,22.388,49,22.387,downbeat,1.0,1.0,131.0576,high,1.0,5
current_quarter_snap,77,22.828,50,22.848,downbeat,-20.0,20.0,846.5977,high,1.0,5
current_quarter_snap,79,23.31,51,23.31,downbeat,0.0,0.0,230.6886,high,1.0,5
current_quarter_snap,83,23.764,52,23.771,downbeat,-7.0,7.0,103.2837,high,1.0,2
current_quarter_snap,85,24.227,53,24.233,downbeat,-6.0,6.0,120.9357,high,1.0,2
current_quarter_snap,87,25.157,55,25.156,downbeat,1.0,1.0,262.679,high,1.0,5
current_quarter_snap,92,25.597,56,25.617,downbeat,-20.0,20.0,1019.1792,high,1.0,5
current_quarter_snap,94,26.079,57,26.079,downbeat,0.0,0.0,144.9656,high,1.0,4
current_quarter_snap,97,26.532,58,26.54,downbeat,-8.0,8.0,181.8146,high,1.0,3
current_quarter_snap,99,26.996,59,27.002,downbeat,-6.0,6.0,63.9474,medium,0.66,2
current_quarter_snap,102,27.925,61,27.925,downbeat,0.0,0.0,35.7007,medium,0.66,1
current_quarter_snap,104,28.378,62,28.386,downbeat,-8.0,8.0,233.7739,high,1.0,3
current_quarter_snap,106,28.848,63,28.848,downbeat,0.0,0.0,67.5306,medium,0.66,1
current_quarter_snap,108,29.301,64,29.309,downbeat,-8.0,8.0,92.3641,medium,0.66,1
current_quarter_snap,110,29.765,65,29.771,downbeat,-6.0,6.0,93.6987,medium,0.66,2
current_quarter_snap,112,30.224,66,30.232,downbeat,-8.0,8.0,47.5187,medium,0.66,1
current_quarter_snap,115,30.675,67,30.694,downbeat,-19.0,19.0,70.3405,medium,0.66,2
current_quarter_snap,120,31.149,68,31.155,downbeat,-6.0,6.0,108.9511,high,1.0,2
current_quarter_snap,121,31.614,69,31.617,downbeat,-3.0,3.0,30.9513,low,0.33,1
current_quarter_snap,123,32.128,70,32.078,downbeat,50.0,50.0,3.3791,low,0.33,1
current_quarter_snap,126,32.534,71,32.54,downbeat,-6.0,6.0,43.4547,medium,0.66,1
current_quarter_snap,130,33.463,73,33.463,downbeat,0.0,0.0,155.5198,high,1.0,4
current_quarter_snap,135,33.92,74,33.924,downbeat,-4.0,4.0,77.6391,medium,0.66,2
current_quarter_snap,137,34.387,75,34.386,downbeat,1.0,1.0,296.5987,high,1.0,5
current_quarter_snap,140,34.842,76,34.847,downbeat,-5.0,5.0,11.3327,low,0.33,1
current_quarter_snap,144,35.304,77,35.309,downbeat,-5.0,5.0,65.9468,medium,0.66,1
current_quarter_snap,146,35.765,78,35.77,downbeat,-5.0,5.0,52.6536,medium,0.66,1
current_quarter_snap,149,36.218,79,36.232,downbeat,-14.0,14.0,77.8466,medium,0.66,2
current_quarter_snap,154,36.687,80,36.693,downbeat,-6.0,6.0,111.6807,high,1.0,2
current_quarter_snap,156,37.154,81,37.155,downbeat,-1.0,1.0,160.2303,high,1.0,4
current_quarter_snap,160,37.691,82,37.616,downbeat,75.0,75.0,23.4696,low,0.33,3
current_quarter_snap,163,38.075,83,38.078,downbeat,-3.0,3.0,71.3392,medium,0.66,2
current_quarter_snap,165,38.531,84,38.539,downbeat,-8.0,8.0,28.3195,low,0.33,1
current_quarter_snap,168,39.001,85,39.001,downbeat,0.0,0.0,35.2278,medium,0.66,1
current_quarter_snap,171,39.457,86,39.462,downbeat,-5.0,5.0,84.3145,medium,0.66,1
current_quarter_snap,173,39.924,87,39.924,downbeat,0.0,0.0,67.8286,medium,0.66,1
current_quarter_snap,175,40.38,88,40.385,downbeat,-5.0,5.0,80.4571,medium,0.66,1
current_quarter_snap,177,40.847,89,40.847,downbeat,0.0,0.0,24.8902,low,0.33,1
current_quarter_snap,181,41.769,91,41.77,downbeat,-1.0,1.0,79.2397,medium,0.66,2
current_quarter_snap,186,42.225,92,42.231,downbeat,-6.0,6.0,37.2243,medium,0.66,1
current_quarter_snap,187,42.693,93,42.693,downbeat,0.0,0.0,40.7751,medium,0.66,2
current_quarter_snap,189,43.148,94,43.154,downbeat,-6.0,6.0,60.7576,medium,0.66,1
