difficulty,event_order,beat_idx,beat_time,onset_time,residual_ms,timing_source,subdivision,source_event_idx,onset_class,segment_idx,segment_focus,motif_id,motif_length_beats,motif_token_length,motif_repeat_count,motif_fingerprint,event_role,difficulty_inclusion
easy,0,10,4.005,4.188,-13.0,onset,eighth,68,percussive,0,percussive,,,,,,easy,easy
easy,1,13,5.198,5.187,-11.0,onset,downbeat,86,percussive,0,percussive,,,,,,easy,easy
easy,2,14,5.599,5.788,-11.0,onset,eighth,96,percussive,0,percussive,,,,,,easy,easy
easy,3,17,6.801,6.786,-15.0,onset,downbeat,109,percussive,0,percussive,,,,,,easy,easy
easy,4,40,16.004,16.196,-8.5,onset,eighth,264,full-spectrum,1,full-spectrum,,,,,,easy,easy
easy,5,43,17.197,17.194,-3.0,onset,downbeat,278,full-spectrum,1,full-spectrum,,,,,,easy,easy
easy,6,45,17.998,17.993,-5.0,onset,downbeat,291,full-spectrum,1,full-spectrum,,,,,,easy,easy
easy,7,47,18.799,18.794,-5.0,onset,downbeat,301,full-spectrum,1,full-spectrum,,,,,,easy,easy
easy,8,78,31.199,31.292,-40.333,onset,triplet,541,harmonic,2,harmonic,,,,,,easy,easy
easy,9,80,32.0,31.988,-12.0,onset,downbeat,562,harmonic,2,harmonic,,,,,,easy,easy
easy,10,85,34.003,33.988,-15.0,onset,downbeat,609,harmonic,2,harmonic,,,,,,easy,easy
easy,11,86,34.403,34.592,-11.5,onset,eighth,623,harmonic,2,harmonic,,,,,,easy,easy
easy,12,96,38.4,38.388,-12.0,onset,downbeat,714,percussive,3,percussive,,,,,,easy,easy
easy,13,98,39.201,39.494,25.667,onset,triplet,738,percussive,3,percussive,,,,,,easy,easy
easy,14,102,40.803,40.797,-6.0,onset,downbeat,766,percussive,3,percussive,,,,,,easy,easy
easy,15,106,42.397,42.391,-6.0,onset,downbeat,796,percussive,3,percussive,,,,,,easy,easy
easy,16,110,43.999,43.996,-3.0,onset,downbeat,830,full-spectrum,4,full-spectrum,,,,,,easy,easy
easy,17,113,45.201,45.195,-6.0,onset,downbeat,858,full-spectrum,4,full-spectrum,,,,,,easy,easy
easy,18,115,46.002,45.996,-6.0,onset,downbeat,875,full-spectrum,4,full-spectrum,,,,,,easy,easy
easy,19,117,46.803,46.794,-9.0,onset,downbeat,889,full-spectrum,4,full-spectrum,,,,,,easy,easy
easy,20,134,53.603,53.589,-14.0,onset,downbeat,1028,harmonic,5,harmonic,,,,,,easy,easy
easy,21,135,54.004,54.297,26.333,onset,triplet,1048,harmonic,5,harmonic,,,,,,easy,easy
easy,22,140,55.998,56.297,32.333,onset,triplet,1093,harmonic,5,harmonic,,,,,,easy,easy
easy,23,142,56.799,57.089,23.333,onset,triplet,1113,harmonic,5,harmonic,,,,,,easy,easy
easy,24,143,57.199,57.089,23.333,onset,triplet,1114,percussive,5,harmonic,,,,,,easy,easy
easy,25,144,57.6,57.095,29.333,onset,triplet,1115,full-spectrum,5,harmonic,,,,,,easy,easy
easy,26,153,61.205,61.196,-9.0,onset,downbeat,1216,percussive,6,percussive,,,,,,easy,easy
easy,27,157,62.798,62.795,-3.0,onset,downbeat,1250,percussive,6,percussive,,,,,,easy,easy
easy,28,158,63.199,63.489,23.333,onset,triplet,1265,percussive,6,percussive,,,,,,easy,easy
easy,29,162,64.801,64.789,-12.0,onset,downbeat,1298,percussive,6,percussive,,,,,,easy,easy
easy,30,166,66.403,66.397,-6.0,onset,downbeat,1335,full-spectrum,7,full-spectrum,,,,,,easy,easy
easy,31,167,66.804,66.995,-9.0,onset,eighth,1350,full-spectrum,7,full-spectrum,,,,,,easy,easy
easy,32,168,67.204,67.495,23.667,onset,triplet,1362,full-spectrum,7,full-spectrum,,,,,,easy,easy
easy,33,170,68.005,67.997,-8.0,onset,downbeat,1374,full-spectrum,7,full-spectrum,,,,,,easy,easy
easy,34,190,75.999,76.298,32.333,onset,triplet,1548,harmonic,8,harmonic,,,,,,easy,easy
easy,35,192,76.8,76.994,-6.5,onset,eighth,1563,harmonic,8,harmonic,,,,,,easy,easy
easy,36,194,77.601,77.79,-11.5,onset,eighth,1584,percussive,8,harmonic,,,,,,easy,easy
